电影频道,#genre#
逃离疯人院,https://top.1080pzy.co/202401/27/ZnnDtVsPz13/video/1000k_0X720_64k_25/hls/index.m3u8
再见,李可乐,https://pptv.1080tg.com/202401/24/sTmCzXVERh3/video/900k_0X480_64k_25/hls/index.m3u8
夜校,https://pptv.1080tg.com/202401/28/xK38DPVeMJ3/video/900k_0X480_64k_25/hls/index.m3u8
四平警事之钻石大劫案,https://hnzy.bfvvs.com/play/yb8nENoe/index.m3u8
非诚勿扰,https://vip1.lz-cdn1.com/20220418/2388_798d109f/1200k/hls/mixed.m3u8
非诚勿扰2,https://vip1.lz-cdn1.com/20220418/2389_063cdfc4/1200k/hls/mixed.m3u8
非诚勿扰3,https://s.xlzys.com/play/yb8nOJ5e/index.m3u8
非诚勿扰3,https://hnzy.bfvvs.com/play/9b6l2EQe/index.m3u8





央视春晚,#genre# 
2024央视春晚,https://vip.ffzyread1.com/20240210/24200_d012131e/2000k/hls/mixed.m3u8

2020央视春晚,https://vip.lz-cdn11.com/20220609/8281_50b07ad7/1000k/hls/mixed.m3u8

2018央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/owrDH93f/4688kb/hls/index.m3u8
2017央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/pArNRoTQ/5169kb/hls/index.m3u8
2016央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/v0g8wyKR/4971kb/hls/index.m3u8
2015央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/K7aORgvh/4359kb/hls/index.m3u8
2014央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/VNea6bzT/1611kb/hls/index.m3u8
2013央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/jSZPAxi7/995kb/hls/index.m3u8
2012央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/jJW3xp3o/1047kb/hls/index.m3u8

2010央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/zmouRFrj/1328kb/hls/index.m3u8

2006央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/nC7vCJmI/1305kb/hls/index.m3u8
2005央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/eUjmutwo/1263kb/hls/index.m3u8
2004央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/hRw66yaA//1174kb/hls/index.m3u8
2003央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/IAH6vRtY/1040kb/hls/index.m3u8
2002央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/w7kKKxbQ/1222kb/hls/index.m3u8

2000央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/AC2UtVIM/1082kb/hls/index.m3u8
1999央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/5HsjoiFG/1020kb/hls/index.m3u8
1998央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/TZduNfpM/1950kb/hls/index.m3u8
1997央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/QnPHWd5y/1122kb/hls/index.m3u8
1996央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/8Cg5Zfqf/2079kb/hls/index.m3u8
1995央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/wNg0LqoW/1257kb/hls/index.m3u8
1994央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/IjgUaGmv/1250kb/hls/index.m3u8
1993央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/zdsOPJsS/1275kb/hls/index.m3u8
1992央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/PobqYa6f/1141kb/hls/index.m3u8
1991央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/6Q8kkXii/1063kb/hls/index.m3u8
1990央视春晚,https://leshiyuncdn.ahjunqin.top/20240210/vHALZmo5/920kb/hls/index.m3u8


综合文艺,#genre#
送水工,http://v26-default.365yg.com/86a9164342ae95724679d422fd229ada/65db1afa/video/tos/cn/tos-cn-ve-0026/oAKxhI2Ez4MK3A7oQhtgADRzMfoToyAApGy0rO/?a=0&ch=0&cr=0&dr=0&er=0&lr=unwatermarked&net=5&cd=0%7C0%7C0%7C0&cv=1&br=968&bt=968&cs=0&ds=3&eid=21760&ft=XEAJEqq3mbuPD12nwZ6R3wUfNvFtMeF~O5&mime_type=video_mp4&qs=0&rc=aDk3NDNoNTk3NjRkPGhlNUBpMzszNzk6ZnVocDMzNGQzM0A2LWI2NV5gNWMxX19jLmE1YSNtbXNocjRfXjRgLS1kLi9zcw%3D%3D&btag=e00038000&dy_q=1708853620&feature_id=1229c61d4e863560fb994c11be849377&l=20240225173340DA7DC24BDCABBC773E1F
送水工,http://v26-default.365yg.com/73808c56eb9d60658581cf06c4c0ff6c/65db1afa/video/tos/cn/tos-cn-ve-0026/ooAVA7oxNfOLoA3TIyhzGOtyE2A4QK4TAhO2M0/?a=0&ch=0&cr=0&dr=0&er=0&lr=unwatermarked&net=5&cd=0%7C0%7C0%7C0&cv=1&br=1883&bt=1883&cs=0&ds=4&eid=21760&ft=XEAJEqq3mbuPD12nwZ6R3wUfNvFtMeF~O5&mime_type=video_mp4&qs=0&rc=N2hlOTc0NGU1NzozNmg2ZEBpMzszNzk6ZnVocDMzNGQzM0BiMDRiXzViNjQxYTFgLTMvYSNtbXNocjRfXjRgLS1kLi9zcw%3D%3D&btag=e00038000&dy_q=1708853620&feature_id=df0cd2e352f757347f92c05051e140af&l=20240225173340DA7DC24BDCABBC773E1F


🕊️直播中国,#genre#
美丽中国精编,https://gctxyc.liveplay.myqcloud.com/gc/wgw05_1_md.m3u8
沈阳浑河大桥,https://gctxyc.liveplay.myqcloud.com/gc/ljgcdsc_1_md.m3u8
哈尔滨霁虹桥,https://gcalic.v.myalicdn.com/gc/hkts09_1/index.m3u8
北京居庸关,https://gcalic.v.myalicdn.com/gc/syns01_1/index.m3u8
成都天府熊猫塔,https://gcalic.v.myalicdn.com/gc/lhszjsp_1/index.m3u8
黑龙江镜泊湖,https://gcalic.v.myalicdn.com/gc/jyg04_1/index.m3u8
湖南郴州仰天湖,https://gcalic.v.myalicdn.com/gc/cntv451-zbzg_1/index.m3u8
嘉峪关关城景区,https://gcalic.v.myalicdn.com/gc/dxssyt_1/index.m3u8
云南保山板桥镇青龙街,https://gcalic.v.myalicdn.com/gc/ylxs12_1/index.m3u8
熊猫基地,https://gcwbndbd.a.bdydns.com/gcwbnd/ipanda1000_2/index.m3u8
云南大理云南驿茶马古道,https://gcalic.v.myalicdn.com/gc/tyhjtys_1/index.m3u8


综合频道,#genre# 
农业科技001,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/9ca4eb50ef92433298dc1a4a84036f42/1200.m3u8
农业科技002,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/734c50815fe84eafbbd9a43e94bb2fe2/1200.m3u8
农业科技003,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/bf573b0d2d3345fd9684d291bcd0abb9/1200.m3u8
农业科技004,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/7538b66065f3420195319cfd5f01346c/1200.m3u8
农业科技005,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1f86c6a8b9044de48abc56fe35da7b04/1200.m3u8
农业科技006,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/a694ab1bee4443328e85b735b85e891e/1200.m3u8
农业科技007,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d1cf727f4bba439a89793d729f1648b1/1200.m3u8
